deviation_id,timestamp,test_id,severity,ui_area,workflow,ui_object,step,expected,actual,exception_type,exception_message,screenshot_path,log_path,database_path,evidence_path,coverage_status,recommended_followup,owner,status
UI-PQ-DEV-0001,2026-06-04T05:19:36.492287+00:00,UI-PQ-MISC-001,medium,gs1,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:gs1_metadata,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0002,2026-06-04T05:19:36.492310+00:00,UI-PQ-MISC-001,medium,history_recovery,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:create_snapshot,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0003,2026-06-04T05:19:36.492316+00:00,UI-PQ-MISC-001,medium,history_recovery,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:history,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0004,2026-06-04T05:19:36.492320+00:00,UI-PQ-MISC-001,medium,history_recovery,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:redo,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0005,2026-06-04T05:19:36.492324+00:00,UI-PQ-MISC-001,medium,history_recovery,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:show_undo_history,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0006,2026-06-04T05:19:36.492328+00:00,UI-PQ-MISC-001,medium,history_recovery,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:undo,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0007,2026-06-04T05:19:36.492331+00:00,UI-PQ-MISC-001,medium,history_recovery,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",button:actionribbonbuttonshowhistory,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0008,2026-06-04T05:19:36.492334+00:00,UI-PQ-MISC-001,medium,history_recovery,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",menu:mainwindow_qmenu_31,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0009,2026-06-04T05:19:36.492358+00:00,UI-PQ-MISC-001,medium,logs_support,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:application_log,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
UI-PQ-DEV-0010,2026-06-04T05:19:36.492362+00:00,UI-PQ-MISC-001,medium,logs_support,"Assets, deliverables, code registry, GS1, search, logs, reports, updates.",action:open_logs_folder,Traceability matrix coverage review,Full automated PQ coverage for discovered UI surface.,Coverage is pending; manual/pending follow-up remains.,,,,,/private/var/folders/6n/jmt1mclx4db3_18pj0z9n8l40000gn/T/tmpos9bio6p/qt-settings/AppLocalDataLocation/Database/default.db,artifacts/ui_pq/evidence.json,pending_manual,feature-specific workflow automation pending,engineering,pending_manual
